Costos Logger;;;;;;;;;;;;;;
Componente;Part Number;Precio Unitario;Cantidad;Acumulado;;;;;;;;;;
Microprocesador;MSP430FR2476TRHBR; USD 2.05 ;1; USD 2.05 ;;;;;;;;;;
Diodo Schottky;CDBQR70; USD 0.13 ;2; USD 0.27 ;;;;;;;;;;
Diodo Rectificador;1N4148WL2-TP; USD 0.06 ;3; USD 0.17 ;;;;;;;;;;
LED Verde;LTST-C171GKT; USD 0.06 ;1; USD 0.06 ;;;;;;;;;;
Capacitor 100n;CL05B104KP5VPNC; USD 0.02 ;1; USD 0.02 ;;;;;;;;;;
Capacitor 4.7n;C0402C472K5RECAUTO; USD 0.05 ;1; USD 0.05 ;;;;;;;;;;
RES100;RC0402FR-07100RL; USD 0.01 ;2; USD 0.01 ;;;;;;;;;;
RES47K;ERJ-2GEJ473X; USD 0.01 ;1; USD 0.01 ;;;;;;;;;;
RES2K2;RC0402FR-072K2L; USD 0.01 ;1; USD 0.01 ;;;;;;;;;;
Pines;6136-0-00-15-00-00-03-0; USD 0.16 ;4; USD 0.64 ;;;;;;;;;;
Pilas;SR626; USD 0.72 ;1; USD 0.72 ;;;;;;;;;;
Resina;Epoxi transparente; USD 108.91 ;0.004; USD 0.44 ;;;;;;;;;;
Placa;JLCPCB; USD 27.55 ;0.01; USD 0.28 ;;;;;;;;;;
Mano de obra - Soldado;2 unidades/h; USD 7.50 ;0.5; USD 3.75 ;;;;;;;;;;
Mano de obra - Poteo;2 unidades/h; USD 7.50 ;0.5; USD 3.75 ;;;;;;;;;;
Total Logger;;;; USD 12.22 ;;;;;;;;;;
